QUARTER,TIME_REMAINING,BOSTON_ACTION,GOLDEN STATE_ACTION,BOSTON_SCORE,GOLDEN STATE_SCORE
1,11:36.0,Turnover by M. Smart (bad pass),,0,0
1,11:25.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Looney),0,3
1,11:16.0,J. Brown makes 3-pt jump shot from 27 ft,,3,3
1,11:11.0,,Turnover by S. Curry (bad pass; steal by J. Tatum),3,3
1,11:10.0,Personal take foul by K. Looney (drawn by J. Tatum),,3,3
1,10:57.0,M. Smart makes 2-pt layup from 10 ft (assist by J. Tatum),,5,3
1,10:46.0,,K. Thompson misses 3-pt jump shot from 26 ft,5,3
1,10:44.0,Defensive rebound by R. Williams,,5,3
1,10:39.0,J. Brown makes 3-pt jump shot from 26 ft (assist by J. Tatum),,8,3
1,10:25.0,,K. Looney makes 2-pt dunk from 3 ft (assist by A. Wiggins),8,5
1,10:09.0,J. Tatum makes 2-pt layup from 3 ft,,10,5
1,9:51.0,,Turnover by K. Thompson (bad pass),10,5
1,9:36.0,J. Brown makes 2-pt layup from 7 ft (assist by M. Smart),,12,5
1,9:36.0,Shooting foul by A. Wiggins (drawn by J. Brown),,12,5
1,9:36.0,J. Brown makes free throw 1 of 1,,13,5
1,9:23.0,,S. Curry misses 2-pt layup from 8 ft (block by R. Williams),13,5
1,9:20.0,Defensive rebound by R. Williams,,13,5
1,9:18.0,J. Tatum misses 3-pt jump shot from 25 ft,,13,5
1,9:17.0,,Defensive rebound by Team,13,5
1,9:05.0,,A. Wiggins misses 2-pt layup from 3 ft (block by A. Horford),13,5
1,9:02.0,Defensive rebound by J. Brown,,13,5
1,8:59.0,M. Smart misses 3-pt jump shot from 26 ft,,13,5
1,8:57.0,,Defensive rebound by K. Looney,13,5
1,8:43.0,,K. Looney makes 2-pt layup from 4 ft (assist by D. Green),13,7
1,8:27.0,J. Tatum misses 2-pt jump shot from 13 ft (block by D. Green),,13,7
1,8:24.0,,Defensive rebound by S. Curry,13,7
1,8:23.0,,K. Thompson misses 3-pt jump shot from 23 ft,13,7
1,8:21.0,Defensive rebound by J. Tatum,,13,7
1,8:06.0,J. Brown misses 2-pt layup from 7 ft,,13,7
1,8:03.0,,Defensive rebound by S. Curry,13,7
1,7:44.0,,S. Curry makes 2-pt jump shot from 12 ft,13,9
1,7:20.0,J. Tatum misses 2-pt jump shot from 10 ft,,13,9
1,7:18.0,Offensive rebound by J. Tatum,,13,9
1,7:18.0,J. Tatum misses 2-pt layup at rim,,13,9
1,7:18.0,Offensive rebound by Team,,13,9
1,7:13.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by R. Williams),,16,9
1,7:02.0,,D. Green makes 2-pt layup from 5 ft (assist by S. Curry),16,11
1,7:02.0,,Shooting foul by A. Horford (drawn by D. Green),16,11
1,7:02.0,,D. Green misses free throw 1 of 1,16,11
1,7:01.0,,Offensive rebound by Team,16,11
1,7:01.0,,Personal foul by J. Tatum (drawn by D. Green),16,11
1,6:47.0,,S. Curry misses 2-pt layup from 4 ft,16,11
1,6:47.0,,Offensive rebound by Team,16,11
1,6:47.0,Loose ball foul by J. Brown (drawn by K. Looney),,16,11
1,6:47.0,,Golden State full timeout,16,11
1,6:44.0,,K. Thompson misses 3-pt jump shot from 27 ft,16,11
1,6:42.0,Defensive rebound by Team,,16,11
1,6:25.0,J. Brown misses 3-pt jump shot from 22 ft,,16,11
1,6:22.0,,Defensive rebound by K. Looney,16,11
1,6:12.0,,A. Wiggins misses 2-pt layup from 6 ft,16,11
1,6:09.0,Defensive rebound by J. Brown,,16,11
1,6:07.0,Turnover by M. Smart (bad pass),,16,11
1,6:07.0,D. White enters the game for J. Tatum,,16,11
1,6:07.0,G. Williams enters the game for R. Williams,,16,11
1,5:49.0,,K. Thompson makes 2-pt jump shot from 8 ft (assist by D. Green),16,13
1,5:49.0,,G. Payton enters the game for K. Looney,16,13
1,5:49.0,,J. Poole enters the game for A. Wiggins,16,13
1,5:22.0,M. Smart misses 3-pt jump shot from 27 ft,,16,13
1,5:19.0,,Defensive rebound by D. Green,16,13
1,5:13.0,,K. Thompson misses 2-pt layup from 3 ft,16,13
1,5:11.0,Defensive rebound by A. Horford,,16,13
1,4:59.0,G. Williams makes 2-pt layup from 5 ft (assist by M. Smart),,18,13
1,4:47.0,,Personal foul by G. Williams (drawn by D. Green),18,13
1,4:47.0,,Technical foul by D. Green,18,13
1,4:47.0,J. Brown makes technical free throw,,19,13
1,4:39.0,,S. Curry misses 3-pt jump shot from 27 ft,19,13
1,4:37.0,Defensive rebound by J. Brown,,19,13
1,4:27.0,J. Brown makes 3-pt jump shot from 26 ft (assist by D. White),,22,13
1,4:13.0,,Shooting foul by D. White (drawn by D. Green),22,13
1,4:13.0,,D. Green makes free throw 1 of 2,22,14
1,4:13.0,,D. Green makes free throw 2 of 2,22,15
1,3:58.0,D. White misses 2-pt jump shot from 9 ft,,22,15
1,3:56.0,,Defensive rebound by D. Green,22,15
1,3:52.0,,Shooting foul by J. Brown (drawn by G. Payton),22,15
1,3:52.0,,Violation by Team (delay of game),22,15
1,3:52.0,,G. Payton misses free throw 1 of 2,22,15
1,3:52.0,,Offensive rebound by Team,22,15
1,3:52.0,J. Tatum enters the game for J. Brown,,22,15
1,3:52.0,,K. Looney enters the game for D. Green,22,15
1,3:52.0,,O. Porter enters the game for K. Thompson,22,15
1,3:52.0,,G. Payton misses free throw 2 of 2,22,15
1,3:50.0,Defensive rebound by M. Smart,,22,15
1,3:37.0,Turnover by M. Smart (bad pass; steal by K. Looney),,22,15
1,3:37.0,,Personal take foul by G. Williams (drawn by S. Curry),22,15
1,3:37.0,,Instant Replay (Request: Ruling Stands),22,15
1,3:37.0,,S. Curry makes free throw 1 of 2,22,16
1,3:37.0,,S. Curry makes free throw 2 of 2,22,17
1,3:20.0,J. Tatum misses 2-pt jump shot from 18 ft,,22,17
1,3:18.0,,Defensive rebound by O. Porter,22,17
1,3:02.0,,K. Looney makes 2-pt dunk from 4 ft (assist by S. Curry),22,19
1,2:47.0,Shooting foul by G. Payton (drawn by J. Tatum),,22,19
1,2:47.0,Boston full timeout,,22,19
1,2:47.0,P. Pritchard enters the game for A. Horford,,22,19
1,2:47.0,D. Theis enters the game for M. Smart,,22,19
1,2:47.0,J. Tatum makes free throw 1 of 2,,23,19
1,2:47.0,J. Tatum makes free throw 2 of 2,,24,19
1,2:34.0,,J. Poole misses 2-pt jump shot from 6 ft,24,19
1,2:31.0,Defensive rebound by D. Theis,,24,19
1,2:24.0,Turnover by D. Theis (bad pass; steal by K. Looney),,24,19
1,2:22.0,,Personal take foul by J. Tatum (drawn by S. Curry),24,19
1,2:22.0,,S. Curry misses free throw 1 of 2,24,19
1,2:22.0,,Offensive rebound by Team,24,19
1,2:22.0,,S. Curry makes free throw 2 of 2,24,20
1,2:11.0,Turnover by J. Tatum (lost ball; steal by S. Curry),,24,20
1,2:05.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by J. Poole),24,23
1,1:33.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by D. Theis),,27,23
1,1:20.0,,G. Payton makes 3-pt jump shot from 23 ft (assist by S. Curry),27,26
1,0:58.0,J. Tatum makes 3-pt jump shot from 29 ft,,30,26
1,0:45.0,,J. Poole makes 3-pt jump shot from 26 ft (assist by G. Payton),30,29
1,0:40.0,Turnover by J. Tatum (lost ball; steal by K. Looney),,30,29
1,0:35.0,,S. Curry misses 3-pt jump shot from 26 ft,30,29
