QUARTER,TIME_REMAINING,BOSTON_ACTION,GOLDEN STATE_ACTION,BOSTON_SCORE,GOLDEN STATE_SCORE
1,11:42.0,,O. Porter makes 2-pt layup from 5 ft (assist by D. Green),0,2
1,11:27.0,Turnover by J. Tatum (bad pass),,0,2
1,11:10.0,,D. Green misses 3-pt jump shot from 24 ft,0,2
1,11:07.0,Defensive rebound by A. Horford,,0,2
1,10:49.0,J. Brown makes 2-pt jump shot from 12 ft,,2,2
1,10:33.0,,A. Wiggins makes 2-pt jump shot from 6 ft (assist by K. Thompson),2,4
1,10:19.0,Personal foul by D. Green (drawn by J. Brown),,2,4
1,10:10.0,M. Smart misses 2-pt layup from 5 ft,,2,4
1,10:09.0,Offensive rebound by R. Williams,,2,4
1,10:08.0,R. Williams misses 2-pt layup from 4 ft,,2,4
1,10:07.0,,Defensive rebound by D. Green,2,4
1,10:01.0,,S. Curry makes 2-pt layup from 5 ft (assist by D. Green),2,6
1,9:44.0,R. Williams makes 2-pt layup from 4 ft (assist by J. Brown),,4,6
1,9:31.0,,D. Green makes 2-pt layup from 5 ft (assist by S. Curry),4,8
1,9:22.0,Turnover by J. Brown (lost ball; steal by A. Wiggins),,4,8
1,9:22.0,,Personal take foul by J. Tatum (drawn by A. Wiggins),4,8
1,9:09.0,,A. Wiggins makes 2-pt jump shot from 15 ft,4,10
1,8:45.0,J. Brown misses 3-pt jump shot from 27 ft,,4,10
1,8:43.0,,Defensive rebound by O. Porter,4,10
1,8:22.0,,A. Wiggins misses 3-pt jump shot from 26 ft,4,10
1,8:19.0,Defensive rebound by J. Brown,,4,10
1,8:13.0,J. Brown misses 2-pt layup from 7 ft,,4,10
1,8:11.0,,Defensive rebound by S. Curry,4,10
1,7:59.0,,K. Thompson misses 3-pt jump shot from 25 ft,4,10
1,7:56.0,Defensive rebound by J. Brown,,4,10
1,7:41.0,J. Brown misses 2-pt jump shot from 11 ft (block by A. Wiggins),,4,10
1,7:39.0,,Defensive rebound by K. Thompson,4,10
1,7:28.0,,D. Green makes 2-pt dunk from 1 ft,4,12
1,7:28.0,Boston full timeout,,4,12
1,7:28.0,D. White enters the game for R. Williams,,4,12
