QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BOSTON_ACTION,GOLDEN STATE_SCORE,BOSTON_SCORE
1,11:43.0,K. Looney makes 2-pt layup from 3 ft,,2,0
1,11:27.0,,J. Brown makes 3-pt jump shot from 27 ft (assist by M. Smart),2,3
1,11:08.0,K. Thompson misses 3-pt jump shot from 27 ft,,2,3
1,11:06.0,,Defensive rebound by J. Tatum,2,3
1,11:03.0,,Shooting foul by K. Looney (drawn by J. Tatum),2,3
1,11:03.0,,J. Tatum misses free throw 1 of 2,2,3
1,11:03.0,,Offensive rebound by Team,2,3
1,11:03.0,,J. Tatum makes free throw 2 of 2,2,4
1,10:51.0,A. Wiggins misses 3-pt jump shot from 25 ft,,2,4
1,10:49.0,,Defensive rebound by J. Brown,2,4
1,10:37.0,,A. Horford makes 3-pt jump shot from 27 ft (assist by J. Brown),2,7
1,10:27.0,S. Curry misses 2-pt jump shot from 12 ft,,2,7
1,10:25.0,,Defensive rebound by A. Horford,2,7
1,10:09.0,,J. Tatum misses 3-pt jump shot from 23 ft,2,7
1,10:08.0,,Offensive rebound by R. Williams,2,7
1,10:03.0,,J. Brown makes 3-pt jump shot from 24 ft (assist by A. Horford),2,10
1,9:38.0,A. Wiggins makes 2-pt jump shot from 18 ft (assist by K. Looney),,4,10
1,9:22.0,,Personal foul by S. Curry (drawn by J. Brown),4,10
1,9:11.0,,M. Smart misses 3-pt jump shot from 26 ft,4,10
1,9:09.0,,Offensive rebound by A. Horford,4,10
1,9:02.0,,J. Tatum makes 2-pt layup from 1 ft (assist by A. Horford),4,12
1,8:53.0,K. Thompson misses 2-pt jump shot from 19 ft,,4,12
1,8:51.0,,Defensive rebound by R. Williams,4,12
1,8:45.0,,Offensive foul by J. Brown (drawn by S. Curry),4,12
1,8:45.0,,Turnover by J. Brown (offensive foul),4,12
1,8:45.0,,D. White enters the game for R. Williams,4,12
1,8:37.0,S. Curry makes 3-pt jump shot from 25 ft,,7,12
1,8:17.0,,M. Smart makes 2-pt jump shot from 9 ft,7,14
1,8:09.0,D. Green misses 3-pt jump shot from 24 ft,,7,14
1,8:06.0,,Defensive rebound by D. White,7,14
1,8:05.0,,Turnover by D. White (step out of bounds),7,14
1,7:57.0,K. Thompson misses 3-pt jump shot from 24 ft,,7,14
1,7:54.0,Offensive rebound by K. Looney,,7,14
1,7:50.0,A. Wiggins misses 3-pt jump shot from 25 ft,,7,14
1,7:46.0,,Defensive rebound by M. Smart,7,14
1,7:37.0,,M. Smart misses 2-pt jump shot from 6 ft,7,14
1,7:35.0,Defensive rebound by K. Thompson,,7,14
1,7:22.0,Offensive foul by A. Wiggins (drawn by J. Brown),,7,14
1,7:22.0,Turnover by A. Wiggins (offensive foul),,7,14
1,7:22.0,G. Payton enters the game for K. Looney,,7,14
1,7:03.0,,Shooting foul by G. Payton (drawn by J. Brown),7,14
1,7:03.0,,J. Brown makes free throw 1 of 2,7,15
1,7:03.0,,J. Brown makes free throw 2 of 2,7,16
1,6:53.0,S. Curry misses 3-pt jump shot from 25 ft,,7,16
1,6:51.0,,Defensive rebound by M. Smart,7,16
1,6:42.0,,Turnover by M. Smart (bad pass; steal by G. Payton),7,16
1,6:36.0,A. Wiggins makes 2-pt dunk from 2 ft (assist by K. Thompson),,9,16
1,6:13.0,,J. Brown makes 2-pt jump shot from 13 ft,9,18
1,6:01.0,S. Curry misses 3-pt jump shot from 26 ft,,9,18
1,5:57.0,,Defensive rebound by J. Tatum,9,18
1,5:44.0,,Shooting foul by S. Curry (drawn by M. Smart),9,18
1,5:44.0,,Boston full timeout,9,18
1,5:44.0,O. Porter enters the game for K. Thompson,,9,18
1,5:44.0,,G. Williams enters the game for J. Tatum,9,18
1,5:44.0,,M. Smart misses free throw 1 of 2,9,18
1,5:44.0,,Offensive rebound by Team,9,18
1,5:44.0,,M. Smart misses free throw 2 of 2,9,18
1,5:42.0,Defensive rebound by A. Wiggins,,9,18
1,5:26.0,A. Wiggins misses 2-pt layup from 7 ft,,9,18
1,5:24.0,,Defensive rebound by J. Brown,9,18
1,5:16.0,,A. Horford makes 2-pt layup from 5 ft (assist by J. Brown),9,20
1,5:01.0,Turnover by D. Green (bad pass; steal by D. White),,9,20
1,4:58.0,,J. Brown misses 2-pt layup from 3 ft (block by D. Green),9,20
1,4:57.0,,Offensive rebound by Team,9,20
1,4:52.0,,J. Brown makes 2-pt layup from 2 ft,9,22
1,4:44.0,O. Porter misses 3-pt jump shot from 23 ft (block by A. Horford),,9,22
1,4:42.0,,Defensive rebound by G. Williams,9,22
1,4:30.0,,J. Brown misses 2-pt jump shot from 16 ft (block by A. Wiggins),9,22
1,4:29.0,,Offensive rebound by J. Brown,9,22
1,4:26.0,,D. White makes 2-pt jump shot from 10 ft (assist by J. Brown),9,24
1,4:11.0,S. Curry makes 2-pt layup from 14 ft,,11,24
