HOME_ROSTER_0,HOME_ROSTER_1,HOME_ROSTER_2,HOME_ROSTER_3,HOME_ROSTER_4,AWAY_ROSTER_0,AWAY_ROSTER_1,AWAY_ROSTER_2,AWAY_ROSTER_3,AWAY_ROSTER_4,HOME_SCORE_NORM48,AWAY_SCORE_NORM48,TIME_ELAPSED,TIME_ENDING
J. Brown,M. Smart,J. Tatum,A. Horford,D. White,K. Thompson,A. Wiggins,S. Curry,D. Green,J. Poole,45,225,128,1237
J. Brown,M. Smart,J. Tatum,A. Horford,D. White,O. Porter,K. Thompson,A. Wiggins,S. Curry,D. Green,151,151,133,1425
J. Brown,M. Smart,J. Tatum,A. Horford,R. Williams,K. Thompson,A. Wiggins,S. Curry,D. Green,K. Looney,102,136,169,1609
J. Brown,M. Smart,J. Tatum,A. Horford,D. White,O. Porter,K. Thompson,A. Wiggins,S. Curry,D. Green,61,147,235,1854
J. Brown,R. Williams,J. Tatum,M. Smart,G. Williams,O. Porter,K. Thompson,A. Wiggins,J. Poole,K. Looney,133,99,173,2160
R. Williams,J. Tatum,M. Smart,G. Williams,P. Pritchard,A. Wiggins,S. Curry,G. Payton,D. Green,J. Poole,149,33,173,2333
J. Brown,R. Williams,J. Tatum,M. Smart,G. Williams,O. Porter,K. Thompson,A. Wiggins,S. Curry,D. Green,52,86,166,2499
J. Brown,R. Williams,J. Tatum,M. Smart,A. Horford,O. Porter,K. Thompson,A. Wiggins,S. Curry,D. Green,161,0,89,2588
J. Brown,R. Williams,J. Tatum,M. Smart,A. Horford,K. Thompson,A. Wiggins,S. Curry,A. Iguodala,J. Poole,106,53,108,2741
J. Tatum,J. Brown,M. Smart,R. Williams,A. Horford,O. Porter,K. Thompson,A. Wiggins,S. Curry,D. Green,124,62,277,277
J. Tatum,J. Brown,M. Smart,D. White,A. Horford,K. Thompson,A. Wiggins,S. Curry,D. Green,K. Looney,62,125,138,436
G. Williams,J. Brown,M. Smart,D. White,A. Horford,O. Porter,A. Wiggins,S. Curry,G. Payton,K. Looney,34,274,84,599
G. Williams,J. Brown,R. Williams,J. Tatum,D. White,O. Porter,S. Curry,G. Payton,J. Poole,K. Looney,238,95,121,720
G. Williams,R. Williams,J. Tatum,D. White,P. Pritchard,K. Thompson,N. Bjelica,A. Wiggins,D. Green,J. Poole,0,0,128,848
J. Brown,M. Smart,R. Williams,J. Tatum,P. Pritchard,K. Thompson,N. Bjelica,A. Wiggins,D. Green,J. Poole,145,48,119,992
J. Brown,M. Smart,A. Horford,J. Tatum,P. Pritchard,K. Thompson,A. Wiggins,S. Curry,D. Green,J. Poole,218,87,66,1090
J. Brown,M. Smart,A. Horford,J. Tatum,D. White,A. Wiggins,S. Curry,G. Payton,J. Poole,K. Looney,0,47,61,1151
J. Brown,M. Smart,A. Horford,J. Tatum,D. White,K. Thompson,A. Wiggins,S. Curry,G. Payton,K. Looney,233,51,111,1262
R. Williams,M. Smart,A. Horford,J. Tatum,D. White,K. Thompson,A. Wiggins,S. Curry,D. Green,K. Looney,88,88,162,1440
R. Williams,M. Smart,A. Horford,J. Tatum,J. Brown,O. Porter,K. Thompson,A. Wiggins,S. Curry,D. Green,102,113,253,1693
R. Williams,M. Smart,J. Tatum,J. Brown,D. White,K. Thompson,A. Wiggins,S. Curry,D. Green,K. Looney,112,112,77,1786
R. Williams,M. Smart,G. Williams,J. Brown,D. White,K. Thompson,A. Wiggins,S. Curry,D. Green,K. Looney,91,128,157,1943
M. Smart,J. Tatum,G. Williams,A. Horford,D. White,O. Porter,A. Wiggins,S. Curry,G. Payton,K. Looney,0,130,66,2009
M. Smart,J. Tatum,G. Williams,A. Horford,D. White,K. Thompson,S. Curry,G. Payton,J. Poole,K. Looney,100,200,86,2129
R. Williams,J. Tatum,J. Brown,D. White,P. Pritchard,N. Bjelica,K. Thompson,A. Wiggins,D. Green,J. Poole,137,86,167,2327
R. Williams,J. Tatum,J. Brown,D. White,P. Pritchard,N. Bjelica,A. Wiggins,S. Curry,D. Green,J. Poole,0,85,67,2394
R. Williams,J. Tatum,M. Smart,J. Brown,D. White,K. Thompson,A. Wiggins,S. Curry,J. Poole,K. Looney,49,137,231,2659
J. Tatum,M. Smart,J. Brown,D. White,A. Horford,K. Thompson,A. Wiggins,S. Curry,D. Green,K. Looney,66,111,129,2824
